s_0,s_1,s_2,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,k_0,k_1,k_2,k_3,k_4,k_5,activation,activ_dense,dropout_0,dropout_1,dropout_2,dropout_3,dropout_4,dropout_5,dropout_6,lr,l2,dense_size_0,dense_size_1,max_pooling,stack_0,stack_1,stack_2,perf,time
4,4,2,278,270,355,263,318,351,5,4,3,6,4,6,relu,softmax,0.3402078402750194,0.2356306617292943,0.34524428052704215,0.2601161984056242,0.2015441531103933,0.29738524843582426,0.31531667642304745,0.008671878398202104,0.0008258102839003027,881,722,True,2,2,2,0.6371999979019165,1216.5959231853485
2,2,4,271,251,337,383,278,314,5,3,4,3,5,4,relu,softmax,0.2885009095895962,0.2747111689475046,0.39607109993057676,0.3660797188951517,0.22325295324427294,0.21147575227376053,0.18905561028399553,0.007208732212505287,0.0011484145529187372,1448,1397,True,2,2,2,0.7696999907493591,2545.544712305069
2,4,4,329,336,353,334,290,375,3,6,4,3,3,3,relu,softmax,0.3045499096098576,0.3980504681187125,0.16970066377720547,0.2871836724284165,0.23809641701721954,0.11183558587680743,0.10434119245085952,0.004179046472088653,0.000540461672329728,955,638,True,2,2,2,0.5928000211715698,2536.134097337723
4,3,2,392,276,296,331,281,328,4,5,6,6,3,4,relu,softmax,0.335892865813084,0.36703164203281125,0.26582423427901103,0.39029412781984263,0.3988440492800016,0.1349633829995898,0.35486312786623664,0.00639962844502197,0.0029739082045728495,1300,1291,True,2,2,2,0.6248000264167786,4158.793614864349
3,2,3,371,389,314,294,355,374,4,3,6,6,4,6,relu,softmax,0.18144526524995758,0.11169170919052693,0.3543370811088623,0.35916002679646253,0.27886932395270503,0.27233012718890753,0.3439360817864259,0.006574939273639164,0.002723067228962468,620,1163,True,2,2,2,0.7756999731063843,4197.450389146805
4,4,3,296,343,386,362,359,392,3,6,3,3,4,4,relu,softmax,0.1771245465554105,0.3253098884612826,0.20189555350508664,0.22844483259770565,0.22110209728720837,0.3137983676940238,0.375338687833204,0.004285032973248462,0.001390567218723439,801,961,True,2,2,2,0.6424000263214111,1031.1581904888153
2,4,2,384,307,281,272,371,282,4,3,6,3,3,5,relu,softmax,0.2852671939628856,0.39442471655009925,0.20132679613966875,0.3109095099922395,0.16678109096237131,0.1783600513821739,0.2535706363808872,0.008668287727041358,0.0018322140916021742,640,648,True,2,2,2,0.7421000003814697,4476.168888807297
2,3,2,342,389,370,394,261,264,3,4,6,6,4,3,relu,softmax,0.14572207601136442,0.14142509698060274,0.13968511240288164,0.13423442715603356,0.17215361272166108,0.19200058909393494,0.38847369131167486,0.00837363252610604,0.0023582887341381783,1111,1431,True,2,2,2,0.8374000191688538,2853.3262906074524
3,3,2,367,353,308,373,340,307,6,4,3,5,4,3,relu,softmax,0.13577347339577836,0.2227228103698287,0.10855554817338778,0.1633167667800552,0.22974501276179798,0.22558155570157454,0.11328862929909772,0.007398543146395475,0.002168149114955873,1049,1484,True,2,2,2,0.7663999795913696,4643.743037939072
4,3,3,293,342,360,276,331,333,3,5,6,3,4,3,relu,softmax,0.16517004237773042,0.32772728841880816,0.335288411436618,0.3768084951863102,0.21284953312932334,0.2518755203491981,0.20893853285382163,0.005925703681557898,0.0016924197277398613,1157,709,True,2,2,2,0.7860999703407288,1404.794818162918
4,4,2,363,330,302,371,312,270,6,5,6,5,4,3,relu,softmax,0.3157805517845845,0.13795807421472273,0.11465248699622319,0.36338246919988193,0.12394931996886203,0.14450175421591394,0.10663998266743542,0.00798298120703954,0.0013271295121816125,512,1216,True,2,2,2,0.724399983882904,4789.736772060394
3,3,3,377,299,355,347,254,295,5,4,3,6,6,6,relu,softmax,0.37187627102136056,0.2519115020635436,0.27823139148262754,0.3124442003795672,0.3498276005358143,0.13645335086129987,0.3430207924687683,0.006166597451164484,0.0020903413260703278,790,615,True,2,2,2,0.6660000085830688,1933.426783323288
3,3,2,302,305,317,335,395,345,3,5,3,6,5,3,relu,softmax,0.30002681839221323,0.24147477882826981,0.33376153442166506,0.2922913972366413,0.11818310713534405,0.1286990759256525,0.11137508322209,0.005903918672960548,0.0017275961745953066,624,580,True,2,2,2,0.6819999814033508,1291.6160960197449
